ANIMAL	FATHER	MOTHER
2227	NA	1817
2228	NA	1661
2229	NA	1661
2230	NA	1096
2231	NA	1096
2232	1223	1834
2233	NA	1553
2234	NA	1586
2235	1871	1820
2236	2136	1820
2237	NA	1101
2238	NA	1101
2239	1223	1289
2240	NA	28
2241	NA	1606
2242	20	910
2243	NA	1633
2244	NA	2066
2245	1587	1098
2246	1223	2076
2247	1223	2146
2248	1874	1741
2249	2145	1108
2250	NA	1094
2252	1883	1662
2253	1223	1095
2254	2138	1080
2255	2115	906
2256	NA	1981
2257	1223	1090
2258	NA	1090
2259	1223	1259
2260	NA	1244
2261	1287	2128
2262	1878	1664
2263	2140	1664
2264	NA	2176
2265	2156	29
2266	1874	1109
2267	1874	1109
2268	NA	2165
2269	NA	1082
2270	1874	1106
2271	1878	2064
2272	NA	2168
2273	1587	24
2274	1871	1821
2275	NA	1073
2276	NA	2177
2277	2065	2069
2278	1883	1262
2279	1871	1255
2280	1878	2071
2281	NA	1079
2282	1884	2053
2283	NA	905
2284	NA	747
2285	20	1877
2286	1890	1104
2287	1881	2175
2288	NA	1663
2289	NA	1663
2290	1871	1554
2291	NA	1554
2292	1587	1258
2293	NA	2120
2294	NA	1251
2295	20	1649
2296	NA	2143
2297	NA	1072
2298	1878	751
2299	NA	2169
2300	1587	749
2301	1587	2171
2302	1960	577
2303	NA	1225
2304	NA	2097
2305	2133	1243
2306	NA	1288
2307	1881	1288
2308	1890	2067
2309	1587	1882
2310	2115	2179
2311	42	21
2312	NA	NA
2313	1872	1246
2314	1960	1586
2315	1884	1083
2316	1223	NA
2318	1872	NA
2319	NA	NA
2321	NA	NA
2322	1889	NA
2323	1223	1660
2324	1223	NA
2326	2149	NA
2327	NA	2105
2329	1889	NA
2330	1746	2154
2331	NA	NA
2332	NA	NA
2333	NA	NA
2334	NA	NA
2335	NA	NA
2337	1883	NA
2339	NA	36
2340	2156	29
2341	1889	1835
2342	NA	1077
2343	1872	1078
2344	1871	1769
2347	1287	NA
2348	NA	NA
2349	2142	2164
2350	1890	2178
2351	NA	2163
2352	1223	27
2353	NA	1242
2354	1223	1251
2355	2138	1263
2356	NA	1082
2357	NA	NA
2358	1960	1891
2359	20	1877
2360	1223	1095
2361	1874	1665
2362	1884	755
2363	1874	1899
2364	1874	1899
2365	2155	1255
2366	2103	1242
2367	NA	NA
2368	NA	2214
2369	1881	1252
2370	1872	751
2371	1881	2075
2372	42	574
2373	2121	1885
2374	2160	2167
2375	1883	1757
2376	1881	1252
2377	1587	NA
2378	1890	2073
2379	1223	1880
2380	NA	2109
2381	2132	2172
2383	1223	1887
2384	2126	2180
2385	NA	2113
2444	NA	1098
62	NA	NA
72	NA	NA
2389	NA	32
2390	NA	747
2391	NA	1226
2392	NA	1226
2393	2153	1080
2394	NA	2097
2395	NA	2241
2396	NA	1633
2397	NA	1243
2398	NA	1641
2399	NA	1096
